teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds
None,wallacebt,None,None,1,5.0,34944,1.0,0,242177,1.0,0,342743,1.0,0,344097,1.0,0,519906,1.0,3,644270
None,PedroGallo,None,None,2,5.0,40498,1.0,1,298643,1.0,0,298988,1.0,0,299785,1.0,1,637722,1.0,3,888870
None,DRaposo,None,None,3,5.0,49751,1.0,0,594646,1.0,0,595043,1.0,1,596135,1.0,0,598538,1.0,0,599646
None,Pescotapa_Pitombinha,None,None,4,5.0,51591,1.0,3,596026,1.0,0,599547,1.0,0,600754,1.0,2,613929,1.0,3,675758
None,luanfreitas5,None,None,5,5.0,61491,1.0,0,594096,1.0,0,1149293,1.0,0,594715,1.0,0,633352,1.0,1,717028
None,giovana12,None,None,6,5.0,87583,1.0,0,969183,1.0,0,970051,1.0,1,971587,1.0,3,1132971,1.0,1,1205337
None,VitinXD,None,None,7,5.0,92147,1.0,3,970492,1.0,0,971113,1.0,0,972343,1.0,2,1306819,1.0,0,1302216
None,gabrielsylar,None,None,8,5.0,93025,1.0,3,1243179,1.0,1,621832,1.0,0,1226129,1.0,3,1233488,1.0,0,1248638
None,natalylacerda,None,None,9,5.0,94483,1.0,0,1062725,1.0,0,1072591,1.0,0,1161565,1.0,2,1214305,1.0,0,1155505
None,Z3D3S,None,None,10,5.0,95054,1.0,1,1127066,1.0,0,1127642,1.0,0,1130563,1.0,3,1148708,1.0,1,1163366
None,NightOff,None,None,11,5.0,95539,1.0,0,1143217,1.0,0,1134034,1.0,0,1136450,1.0,3,1158422,1.0,1,1155572
None,LuanP,None,None,12,5.0,101653,1.0,0,1217999,1.0,0,1218485,1.0,0,1218940,1.0,0,1219722,1.0,2,1221839
None,Avestruz_que_te_Seduz,None,None,13,5.0,103001,1.0,1,1233198,1.0,0,1233409,1.0,0,1234149,1.0,2,1236538,1.0,0,1239303
None,lflamellas,None,None,14,5.0,104277,1.0,0,1233855,1.0,0,1234275,1.0,0,1235104,1.0,10,1295941,1.0,5,1239486
None,Joao.F,None,None,15,5.0,104322,1.0,2,1302263,1.0,0,1212015,1.0,0,1212985,1.0,0,1308879,1.0,3,1217326
None,ananaps,None,None,16,5.0,109267,1.0,0,1309270,1.0,0,1308696,1.0,0,1308721,1.0,4,1311467,1.0,0,1313211
None,leoakira,None,None,17,4.0,41211,1.0,0,617016,1.0,0,617280,1.0,0,618912,1.0,0,619535,0.0,3,None
None,Fabio_Santos,None,None,18,4.0,76831,1.0,1,1126655,1.0,0,1127460,1.0,0,1039558,1.0,6,1307910,0.0,2,None
None,JoaoBispo110,None,None,19,4.0,78084,1.0,0,1161074,1.0,0,1161760,1.0,4,1178879,0.0,5,None,1.0,1,1177455
None,LiL_Teus,None,None,20,4.0,78171,1.0,0,1124511,1.0,0,1125914,1.0,0,1122845,1.0,8,1307519,0.0,0,None
None,alice7lima,None,None,21,4.0,80733,1.0,3,1205920,1.0,0,1160383,1.0,0,1162363,1.0,1,1310641,0.0,0,None
None,kayambacha,None,None,22,4.0,83930,1.0,1,1244162,1.0,1,1251381,1.0,0,1256989,1.0,0,1280969,0.0,0,None
None,AlvaroLuz,None,None,23,4.0,84937,1.0,0,1259274,1.0,0,1259778,1.0,0,1260626,1.0,3,1313079,0.0,4,None
None,G_Cesario,None,None,24,4.0,87292,1.0,1,1308187,1.0,0,1308485,1.0,0,1309255,1.0,0,1310482,0.0,1,None
None,tutukiller,None,None,25,3.0,65216,1.0,3,1300527,1.0,0,1301388,1.0,1,1306340,0.0,1,None,0.0,0,None
None,pedrohmoura,None,None,26,2.0,35964,0.0,0,None,1.0,0,1077395,1.0,0,1080538,0.0,2,None,0.0,0,None
None,Nosgueira,None,None,27,1.0,19203,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,1.0,0,1152219
