teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds
None,LuanP,None,None,1,5.0,108,1.0,0,302,1.0,0,964,1.0,0,1371,1.0,0,1536,1.0,0,2449
None,wallacebt,None,None,2,5.0,164,1.0,0,355,1.0,0,1662,1.0,0,2187,1.0,0,2411,1.0,0,3397
None,DRaposo,None,None,3,5.0,168,1.0,0,346,1.0,0,1667,1.0,0,2317,1.0,0,2559,1.0,0,3401
None,LucasABM,None,None,4,5.0,196,1.0,0,839,1.0,0,1804,1.0,0,2640,1.0,0,1967,1.0,1,3474
None,Avestruz_que_te_Seduz,None,None,5,5.0,210,1.0,0,386,1.0,0,1720,1.0,0,2647,1.0,1,3055,1.0,0,3747
None,PedroGallo,None,None,6,5.0,254,1.0,0,493,1.0,2,2154,1.0,0,3138,1.0,0,3290,1.0,0,3900
None,Bitt,None,None,7,5.0,275,1.0,0,389,1.0,1,2714,1.0,0,3919,1.0,0,1039,1.0,2,4953
None,pedrol3001,None,None,8,5.0,305,1.0,0,548,1.0,1,6683,1.0,0,2287,1.0,0,2823,1.0,0,4804
None,Pescotapa_Pitombinha,None,None,9,5.0,348,1.0,0,568,1.0,2,3432,1.0,0,4375,1.0,0,4580,1.0,0,5641
None,tutukiller,None,None,10,5.0,357,1.0,0,182,1.0,1,7622,1.0,0,1081,1.0,0,5102,1.0,0,6240
None,lflamellas,None,None,11,5.0,375,1.0,0,2383,1.0,0,3480,1.0,0,4751,1.0,0,5012,1.0,0,6974
None,ananaps,None,None,12,5.0,467,1.0,0,3374,1.0,0,4989,1.0,0,6654,1.0,0,5538,1.0,0,7612
None,LiL_Teus,None,None,13,5.0,468,1.0,0,463,1.0,5,6994,1.0,0,4196,1.0,0,3041,1.0,0,7609
None,giovana12,None,None,14,4.0,246,1.0,0,1789,1.0,1,6299,1.0,0,3548,1.0,0,2078,0.0,0,None
None,alice7lima,None,None,15,4.0,264,1.0,0,1886,0.0,0,None,1.0,0,4017,1.0,0,2445,1.0,0,7646
None,brunocmarino,None,None,16,4.0,291,1.0,0,1547,1.0,0,6688,1.0,0,5249,1.0,0,4081,0.0,0,None
None,auntduda,None,None,17,4.0,304,1.0,0,1475,1.0,1,7683,1.0,0,3764,1.0,0,4213,0.0,0,None
None,G_Cesario,None,None,18,4.0,329,1.0,0,1482,0.0,5,None,1.0,0,4870,1.0,0,5112,1.0,1,7175
None,gabrielsylar,None,None,19,4.0,341,1.0,1,1057,0.0,4,None,1.0,0,5838,1.0,0,4819,1.0,0,7657
None,Z3D3S,None,None,19,4.0,341,1.0,0,1436,0.0,3,None,1.0,2,5435,1.0,0,4020,1.0,0,7272
None,AlvaroLuz,None,None,21,4.0,346,1.0,0,2208,0.0,0,None,1.0,0,5192,1.0,0,2563,1.0,3,7328
None,Joao.F,None,None,22,4.0,373,1.0,0,1942,1.0,3,6366,1.0,0,4834,1.0,0,5706,0.0,1,None
None,kayambacha,None,None,23,4.0,391,1.0,2,1841,0.0,4,None,1.0,1,5286,1.0,0,5483,1.0,0,7323
None,karenlimacdo,None,None,24,3.0,72,1.0,0,461,0.0,0,None,1.0,0,1851,1.0,0,2134,0.0,1,None
None,Poskvansk,None,None,25,3.0,118,1.0,0,627,0.0,2,None,1.0,0,5253,1.0,0,1314,0.0,0,None
None,VitinXD,None,None,26,3.0,132,1.0,0,2028,0.0,0,None,1.0,0,3467,1.0,0,2576,0.0,0,None
None,Fabio_Santos,None,None,27,3.0,135,1.0,0,381,0.0,2,None,1.0,0,7010,1.0,0,786,0.0,1,None
None,natalylacerda,None,None,28,3.0,154,1.0,0,1333,0.0,1,None,1.0,0,3530,1.0,0,4469,0.0,0,None
None,lamec,None,None,29,3.0,176,1.0,0,2267,0.0,0,None,1.0,0,5681,1.0,0,2715,0.0,0,None
None,pedrohmoura,None,None,30,3.0,188,1.0,0,1810,0.0,0,None,1.0,0,6088,1.0,0,3445,0.0,0,None
None,NightOff,None,None,31,3.0,210,1.0,0,1331,0.0,1,None,1.0,0,6504,1.0,0,4827,0.0,0,None
None,gabriel.ritter99,None,None,32,3.0,289,1.0,0,5432,0.0,0,None,1.0,0,7263,1.0,0,4716,0.0,0,None
None,robertocaixeta102,None,None,33,2.0,61,1.0,0,1637,0.0,0,None,0.0,0,None,1.0,0,2079,0.0,2,None
None,lucas.costa19,None,None,34,2.0,101,1.0,0,1583,0.0,3,None,0.0,0,None,1.0,0,4530,0.0,0,None
None,rafaelsilva2535,None,None,35,2.0,110,1.0,0,1181,0.0,1,None,0.0,0,None,1.0,0,5474,0.0,0,None
None,luanfreitas5,None,None,36,2.0,171,1.0,0,4043,0.0,0,None,0.0,0,None,0.0,1,None,1.0,0,6253
None,lucpena,None,None,37,1.0,118,1.0,0,7116,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,Hisok4,None,None,38,0.0,0,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,1,None
None,Felipe_moura,None,None,38,0.0,0,0.0,1,None,0.0,0,None,0.0,0,None,0.0,1,None,0.0,0,None
