teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds
None,wallacebt,None,None,1,5.0,31906,1.0,1,364726,1.0,2,369442,1.0,1,370305,1.0,2,399869,1.0,0,403008
None,pablo_aaaa,None,None,2,5.0,32819,1.0,0,408532,1.0,0,333231,1.0,0,408802,1.0,0,409020,1.0,1,408503
None,PedroGallo,None,None,3,5.0,34953,1.0,0,345478,1.0,5,697911,1.0,0,347392,1.0,0,348918,1.0,0,351700
None,G_Cesario,None,None,4,5.0,43305,1.0,1,90474,1.0,3,859559,1.0,0,94452,1.0,0,333792,1.0,0,1215405
None,Bitt,None,None,5,5.0,44532,1.0,1,264378,1.0,1,1295372,1.0,1,261628,1.0,2,266770,1.0,2,575519
None,DRaposo,None,None,6,5.0,50693,1.0,1,80221,1.0,5,1214011,1.0,0,83198,1.0,13,1217337,1.0,2,421765
None,Pescotapa_Pitombinha,None,None,7,5.0,51259,1.0,2,368915,1.0,4,680380,1.0,0,671694,1.0,0,672591,1.0,0,674942
None,tutukiller,None,None,8,5.0,58821,1.0,1,345947,1.0,3,1209451,1.0,0,338034,1.0,0,339839,1.0,3,1287812
None,Z3D3S,None,None,9,5.0,61956,1.0,1,621581,1.0,6,624853,1.0,0,461492,1.0,3,971445,1.0,0,1026135
None,lflamellas,None,None,10,5.0,63977,1.0,2,72796,1.0,8,1016473,1.0,0,858759,1.0,2,863202,1.0,0,1013139
None,ananaps,None,None,11,5.0,81296,1.0,4,964054,1.0,0,1040997,1.0,0,956184,1.0,0,956395,1.0,0,955523
None,NightOff,None,None,12,5.0,86727,1.0,0,956350,1.0,0,1137629,1.0,0,964758,1.0,2,1008399,1.0,2,1131838
None,Avestruz_que_te_Seduz,None,None,13,5.0,87530,1.0,0,1037089,1.0,1,1046728,1.0,0,1053137,1.0,0,1053577,1.0,0,1060259
None,VitinXD,None,None,14,5.0,87593,1.0,3,958551,1.0,0,1218818,1.0,0,1011608,1.0,2,1022881,1.0,0,1037879
None,alice7lima,None,None,15,5.0,88064,1.0,3,962956,1.0,0,1213452,1.0,0,964372,1.0,5,1034902,1.0,0,1098666
None,giovana12,None,None,16,5.0,88367,1.0,1,1013892,1.0,2,1214995,1.0,0,1010834,1.0,3,1018135,1.0,0,1037109
None,natalylacerda,None,None,17,5.0,90250,1.0,0,960873,1.0,1,1224841,1.0,0,964883,1.0,1,1047041,1.0,0,1215094
None,Joao.F,None,None,18,5.0,91543,1.0,6,1187751,1.0,4,1278078,1.0,0,958418,1.0,1,1017800,1.0,0,1037461
None,pedrol3001,None,None,19,5.0,91797,1.0,3,1024898,1.0,1,1213779,1.0,0,1021352,1.0,1,1021937,1.0,4,1215203
None,LiL_Teus,None,None,20,4.0,30798,1.0,1,267501,0.0,0,None,1.0,0,264187,1.0,3,267029,1.0,3,1040860
None,lucas.costa19,None,None,21,4.0,51688,1.0,4,670114,0.0,0,None,1.0,0,775036,1.0,4,778720,1.0,2,865520
None,Fabio_Santos,None,None,22,4.0,61693,1.0,5,1038102,0.0,1,None,1.0,0,692180,1.0,4,920265,1.0,1,1039181
None,gabrielsylar,None,None,23,4.0,62203,1.0,1,431718,1.0,7,1213827,1.0,0,1033898,1.0,3,1039627,0.0,0,None
None,AlvaroLuz,None,None,24,4.0,65173,1.0,5,953642,1.0,3,960253,1.0,0,960541,1.0,1,1025162,0.0,0,None
None,brunocmarino,None,None,25,4.0,75602,1.0,0,1187904,0.0,0,None,1.0,0,1040231,1.0,0,1121577,1.0,1,1185311
None,luanfreitas5,None,None,26,4.0,78299,1.0,1,1011025,1.0,11,1224717,1.0,2,1139200,1.0,23,1278737,0.0,3,None
None,pedrohmoura,None,None,27,3.0,43114,1.0,0,866103,0.0,0,None,1.0,0,858279,1.0,1,861359,0.0,0,None
None,kayambacha,None,None,28,3.0,52078,1.0,0,1038507,0.0,1,None,1.0,0,1040475,1.0,3,1042194,0.0,0,None
None,leoakira,None,None,29,3.0,54053,1.0,1,1009848,1.0,4,1214082,1.0,0,1013373,0.0,4,None,0.0,1,None
None,mirellag,None,None,30,2.0,32348,1.0,2,968853,0.0,0,None,1.0,0,969703,0.0,2,None,0.0,0,None
None,LucasABM,None,None,31,2.0,34479,1.0,2,1032845,0.0,0,None,1.0,0,1033537,0.0,1,None,0.0,0,None
None,rafaelsilva2535,None,None,32,2.0,40421,1.0,0,1195199,1.0,7,1221774,0.0,0,None,0.0,0,None,0.0,0,None
None,Nosgueira,None,None,33,1.0,6997,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,1.0,1,418676
None,auntduda,None,None,34,1.0,19765,0.0,3,None,0.0,1,None,1.0,0,1185948,0.0,2,None,0.0,0,None
None,zikadozap,None,None,35,1.0,21380,0.0,1,None,0.0,0,None,1.0,0,1282846,0.0,0,None,0.0,0,None
None,lamec,None,None,36,1.0,21424,0.0,0,None,0.0,0,None,1.0,0,1285488,0.0,4,None,0.0,0,None
