teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds,F_points,F_rejectedAttemptCount,F_bestSubmissionTimeSeconds
None,pedrol3001,None,None,1,6.0,1134,1.0,0,4650,1.0,3,16096,1.0,0,6670,1.0,0,7442,1.0,1,12380,1.0,1,14896
None,Z3D3S,None,None,2,6.0,1239,1.0,0,7316,1.0,2,8691,1.0,0,9291,1.0,0,13350,1.0,0,15914,1.0,0,17613
None,lflamellas,None,None,3,6.0,6976,1.0,1,59026,1.0,1,59860,1.0,0,60100,1.0,2,88309,1.0,0,65858,1.0,1,79654
None,DRaposo,None,None,4,6.0,7645,1.0,0,59726,1.0,1,78675,1.0,0,79019,1.0,0,79699,1.0,0,80099,1.0,0,80481
None,pedrohmoura,None,None,5,6.0,18617,1.0,0,168175,1.0,1,169915,1.0,0,171208,1.0,1,259282,1.0,0,172286,1.0,0,173959
None,lucas.costa19,None,None,6,6.0,21496,1.0,1,2851,1.0,3,63385,1.0,0,251277,1.0,1,254270,1.0,0,264584,1.0,2,445209
None,PedroGallo,None,None,7,6.0,24920,1.0,0,82591,1.0,1,115230,1.0,0,115733,1.0,0,119703,1.0,0,810478,1.0,0,250496
None,wallacebt,None,None,8,6.0,25625,1.0,0,251301,1.0,1,252893,1.0,0,250888,1.0,0,269057,1.0,0,258068,1.0,0,254241
None,tutukiller,None,None,9,6.0,40643,1.0,1,84167,1.0,0,425533,1.0,0,426326,1.0,1,499728,1.0,0,500101,1.0,0,500463
None,Pescotapa_Pitombinha,None,None,10,6.0,40707,1.0,1,365756,1.0,1,367456,1.0,0,404046,1.0,1,409498,1.0,2,444341,1.0,0,445558
None,leoakira,None,None,11,6.0,40898,1.0,0,406519,1.0,2,407875,1.0,0,408361,1.0,0,409141,1.0,0,409480,1.0,0,410256
None,G_Cesario,None,None,12,6.0,45982,1.0,0,428705,1.0,0,430449,1.0,0,430990,1.0,0,432305,1.0,0,435400,1.0,0,601186
None,LucasABM,None,None,13,6.0,53506,1.0,0,533175,1.0,1,533967,1.0,0,534256,1.0,0,535607,1.0,0,536083,1.0,0,536224
None,luanfreitas5,None,None,14,6.0,67273,1.0,2,275316,1.0,8,1231591,1.0,1,1180712,1.0,0,276412,1.0,0,528569,1.0,0,530790
None,giovana12,None,None,15,6.0,77229,1.0,0,597542,1.0,1,599277,1.0,0,599708,1.0,0,1117145,1.0,0,1117972,1.0,0,601057
None,brunocmarino,None,None,16,6.0,77868,1.0,2,5391,1.0,1,920426,1.0,0,921188,1.0,0,924391,1.0,0,947693,1.0,1,948404
None,alice7lima,None,None,17,6.0,87434,1.0,0,707852,1.0,1,709684,1.0,0,711566,1.0,0,714092,1.0,2,1278899,1.0,1,1119334
None,NightOff,None,None,18,6.0,96371,1.0,2,518318,1.0,3,1049149,1.0,0,601347,1.0,1,1189390,1.0,1,1208275,1.0,2,1205205
None,mirellag,None,None,19,6.0,99639,1.0,0,613342,1.0,3,1136006,1.0,0,613233,1.0,0,1192998,1.0,0,1216122,1.0,0,1203224
None,gabrielsylar,None,None,20,6.0,104932,1.0,0,924063,1.0,1,1126611,1.0,0,1040016,1.0,0,1042571,1.0,0,1111909,1.0,0,1049729
None,natalylacerda,None,None,21,6.0,106202,1.0,2,445017,1.0,3,1186849,1.0,0,1138067,1.0,0,1181113,1.0,0,1207789,1.0,1,1206358
None,Bitt,None,None,22,6.0,108093,1.0,0,1009952,1.0,0,1128922,1.0,0,1039476,1.0,4,1042633,1.0,0,1130175,1.0,0,1129786
None,LiL_Teus,None,None,23,6.0,110850,1.0,0,1038865,1.0,2,1111152,1.0,0,1039474,1.0,3,1043667,1.0,0,1205133,1.0,0,1206857
None,VitinXD,None,None,24,6.0,111792,1.0,3,613558,1.0,0,1207860,1.0,0,1209247,1.0,1,1278956,1.0,0,1117962,1.0,0,1275332
None,Fabio_Santos,None,None,25,6.0,112282,1.0,1,1113756,1.0,0,1112925,1.0,0,1118591,1.0,2,1129312,1.0,1,1132679,1.0,0,1125098
None,Avestruz_que_te_Seduz,None,None,26,6.0,114177,1.0,0,1139514,1.0,1,1140351,1.0,0,1140683,1.0,0,1141355,1.0,0,1141933,1.0,1,1144600
None,Joao.F,None,None,27,6.0,117877,1.0,1,1132764,1.0,0,1134145,1.0,0,1136332,1.0,0,1141002,1.0,0,1228993,1.0,2,1295941
None,Hisok4,None,None,28,5.0,106035,1.0,0,1263965,1.0,6,1267390,1.0,0,1268795,1.0,0,1276917,0.0,0,None,1.0,0,1277995
None,AlvaroLuz,None,None,29,4.0,74704,1.0,0,1120043,1.0,0,1120556,1.0,0,1120729,0.0,0,None,0.0,0,None,1.0,0,1121050
None,Heligleison,None,None,30,3.0,21315,1.0,2,421419,1.0,3,425340,1.0,0,426197,0.0,0,None,0.0,0,None,0.0,0,None
None,zikadozap,None,None,31,2.0,36802,1.0,0,1025396,0.0,2,None,1.0,0,1182788,0.0,0,None,0.0,0,None,0.0,0,None
None,lamec,None,None,32,2.0,41092,1.0,0,1234825,0.0,6,None,1.0,0,1230730,0.0,0,None,0.0,0,None,0.0,0,None
None,gabriel.ritter99,None,None,33,1.0,10064,0.0,0,None,0.0,0,None,1.0,0,603844,0.0,0,None,0.0,0,None,0.0,4,None
