teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds,F_points,F_rejectedAttemptCount,F_bestSubmissionTimeSeconds
None,DRaposo,None,None,1,6.0,15987,1.0,0,148456,1.0,1,151174,1.0,0,159176,1.0,0,161442,1.0,0,168881,1.0,1,167891
None,wallacebt,None,None,2,6.0,72463,1.0,0,623896,1.0,1,629136,1.0,1,632635,1.0,0,792740,1.0,1,807225,1.0,1,857542
None,PedroGallo,None,None,3,6.0,78893,1.0,0,487888,1.0,0,756154,1.0,0,756936,1.0,2,884028,1.0,0,886119,1.0,2,957876
None,Z3D3S,None,None,4,6.0,92057,1.0,1,680678,1.0,3,684746,1.0,2,695470,1.0,6,1114774,1.0,0,1121510,1.0,3,1208453
None,VitinXD,None,None,5,6.0,110205,1.0,3,1027638,1.0,0,1030333,1.0,6,1033861,1.0,0,1038237,1.0,0,1186266,1.0,0,1285286
None,Joao.F,None,None,6,6.0,117211,1.0,7,1113864,1.0,0,1139862,1.0,1,1141565,1.0,3,1208120,1.0,2,1118617,1.0,0,1295172
None,alice7lima,None,None,7,6.0,117482,1.0,0,1033221,1.0,3,1049435,1.0,0,1187118,1.0,0,1191871,1.0,3,1291774,1.0,0,1288470
None,lflamellas,None,None,8,5.0,50584,1.0,3,600568,1.0,1,601178,1.0,0,603363,1.0,2,607754,1.0,0,615093,0.0,7,None
None,giovana12,None,None,9,5.0,91718,1.0,0,1027123,1.0,1,1029837,1.0,0,1031598,1.0,0,1121314,1.0,2,1289776,0.0,0,None
None,LuanP,None,None,10,4.0,44519,1.0,0,664347,1.0,0,667981,1.0,0,668928,1.0,0,669999,0.0,0,None,0.0,0,None
None,G_Cesario,None,None,11,4.0,75644,1.0,1,1029973,1.0,1,1036584,1.0,0,1183558,0.0,0,None,1.0,0,1286221,0.0,0,None
None,Pescotapa_Pitombinha,None,None,12,4.0,78804,1.0,1,1094503,1.0,3,1177370,1.0,2,1178694,1.0,3,1267023,0.0,3,None,0.0,0,None
None,NightOff,None,None,13,4.0,80959,1.0,1,1180088,1.0,1,1183694,1.0,0,1185173,1.0,9,1295510,0.0,0,None,0.0,0,None
None,auntduda,None,None,14,4.0,81021,1.0,1,1128134,1.0,0,1129928,1.0,4,1295440,0.0,1,None,1.0,6,1294639,0.0,0,None
None,Avestruz_que_te_Seduz,None,None,15,4.0,84182,1.0,2,1223389,1.0,6,1226326,1.0,2,1291762,1.0,3,1293988,0.0,0,None,0.0,0,None
None,AlvaroLuz,None,None,16,3.0,42377,1.0,1,467400,1.0,4,1033044,1.0,0,1036238,0.0,0,None,0.0,0,None,0.0,0,None
None,luanfreitas5,None,None,17,3.0,48512,0.0,0,None,0.0,8,None,0.0,6,None,1.0,0,971859,1.0,0,968549,1.0,1,969237
None,Fabio_Santos,None,None,18,3.0,57251,1.0,2,1110851,1.0,1,1111646,1.0,9,1198202,0.0,0,None,0.0,0,None,0.0,0,None
None,lucas.costa19,None,None,19,3.0,59303,1.0,0,1198202,1.0,6,1294349,0.0,0,None,0.0,0,None,1.0,0,1058510,0.0,0,None
None,LiL_Teus,None,None,20,3.0,59641,1.0,1,1189107,1.0,0,1191104,1.0,0,1197176,0.0,0,None,0.0,0,None,0.0,0,None
None,nunesgrf,None,None,21,3.0,60305,1.0,0,1204386,1.0,3,1203864,0.0,0,None,1.0,1,1205282,0.0,0,None,0.0,0,None
None,brunocmarino,None,None,22,3.0,62281,1.0,1,1188114,1.0,7,1266213,1.0,0,1273060,0.0,0,None,0.0,0,None,0.0,0,None
None,natalylacerda,None,None,23,3.0,63991,1.0,0,1262068,1.0,0,1286286,1.0,0,1291151,0.0,0,None,0.0,0,None,0.0,0,None
None,LucasABM,None,None,24,2.0,20083,1.0,2,598907,1.0,3,600131,0.0,1,None,0.0,0,None,0.0,0,None,0.0,0,None
None,gabriel.ritter99,None,None,25,2.0,40229,1.0,0,1204575,1.0,1,1208000,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,tutukiller,None,None,26,2.0,43065,1.0,0,1289997,1.0,0,1294007,0.0,1,None,0.0,0,None,0.0,0,None,0.0,0,None
None,Bitt,None,None,27,1.0,8124,1.0,0,487459,0.0,4,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,gabrielsylar,None,None,28,1.0,20038,1.0,0,1202327,0.0,2,None,0.0,0,None,0.0,0,None,0.0,2,None,0.0,0,None
None,pedrohmoura,None,None,29,1.0,20039,1.0,0,1202368,0.0,0,None,0.0,2,None,0.0,0,None,0.0,1,None,0.0,0,None
None,Poskvansk,None,None,30,1.0,20137,1.0,0,1208242,0.0,1,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,pedrol3001,None,None,31,0.0,0,0.0,7,None,0.0,2,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
