teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds,F_points,F_rejectedAttemptCount,F_bestSubmissionTimeSeconds
None,LuanP,None,None,1,6.0,253,1.0,0,420,1.0,0,869,1.0,0,1628,1.0,1,3042,1.0,1,2895,1.0,0,4065
None,DRaposo,None,None,2,6.0,276,1.0,0,840,1.0,0,1187,1.0,0,1853,1.0,0,2517,1.0,2,4132,1.0,0,3873
None,wallacebt,None,None,3,6.0,292,1.0,0,569,1.0,0,917,1.0,0,2182,1.0,0,3293,1.0,1,4291,1.0,0,5222
None,nunesgrf,None,None,4,6.0,401,1.0,0,506,1.0,1,1158,1.0,0,2103,1.0,1,3011,1.0,5,4005,1.0,0,5005
None,tutukiller,None,None,5,6.0,490,1.0,1,1273,1.0,0,1741,1.0,0,7837,1.0,0,3844,1.0,2,5021,1.0,0,6234
None,LucasABM,None,None,6,5.0,171,1.0,0,370,1.0,1,803,1.0,0,1594,1.0,0,2281,1.0,1,2926,0.0,5,None
None,Avestruz_que_te_Seduz,None,None,7,5.0,392,1.0,0,1107,1.0,0,1561,1.0,0,3349,1.0,2,7120,1.0,2,5718,0.0,2,None
None,lflamellas,None,None,8,5.0,436,1.0,0,448,1.0,1,1258,1.0,2,3653,1.0,2,5685,1.0,2,6945,0.0,0,None
None,Bitt,None,None,9,5.0,447,1.0,0,555,1.0,0,1242,1.0,2,4172,1.0,2,7438,1.0,3,5174,0.0,0,None
None,LiL_Teus,None,None,10,5.0,462,1.0,0,844,1.0,0,1686,1.0,1,7644,1.0,1,7503,1.0,2,5304,0.0,0,None
None,luanfreitas5,None,None,11,4.0,222,1.0,0,1542,1.0,0,3021,1.0,0,3827,0.0,2,None,1.0,0,5096,0.0,1,None
None,giovana12,None,None,12,4.0,256,1.0,0,625,1.0,0,1523,1.0,1,4798,0.0,1,None,1.0,1,6142,0.0,0,None
None,PedroGallo,None,None,13,4.0,259,1.0,0,569,1.0,0,2362,1.0,0,3517,0.0,2,None,1.0,2,6834,0.0,0,None
None,brunocmarino,None,None,14,4.0,294,1.0,0,938,1.0,0,1463,0.0,0,None,1.0,1,5310,1.0,2,6440,0.0,0,None
None,karenlimacdo,None,None,15,4.0,296,1.0,0,767,1.0,2,4439,1.0,0,2908,0.0,1,None,1.0,1,6204,0.0,0,None
None,VitinXD,None,None,16,4.0,322,1.0,0,1251,1.0,0,2364,1.0,1,5150,0.0,0,None,1.0,2,7096,0.0,0,None
None,AlvaroLuz,None,None,17,4.0,438,1.0,0,2025,1.0,1,3939,1.0,0,7036,0.0,0,None,1.0,5,6183,0.0,0,None
None,Fabio_Santos,None,None,18,4.0,466,1.0,0,2779,1.0,0,8324,1.0,2,6942,0.0,0,None,1.0,1,6439,0.0,0,None
None,G_Cesario,None,None,19,3.0,117,1.0,0,1161,1.0,0,1548,1.0,0,4395,0.0,2,None,0.0,1,None,0.0,0,None
None,lucas.costa19,None,None,20,3.0,182,1.0,0,800,1.0,0,1657,0.0,0,None,1.0,1,7355,0.0,0,None,0.0,0,None
None,leoakira,None,None,21,3.0,183,1.0,0,1027,1.0,0,1694,0.0,0,None,0.0,4,None,0.0,1,None,1.0,0,8287
None,Z3D3S,None,None,22,3.0,187,1.0,0,615,1.0,0,1100,1.0,1,8372,0.0,2,None,0.0,2,None,0.0,0,None
None,alice7lima,None,None,23,3.0,197,1.0,0,1201,1.0,0,2751,0.0,0,None,0.0,0,None,1.0,1,6768,0.0,0,None
None,kayambacha,None,None,24,3.0,226,1.0,2,3107,1.0,0,3460,1.0,0,4695,0.0,2,None,0.0,0,None,0.0,0,None
None,Pescotapa_Pitombinha,None,None,25,3.0,259,1.0,1,2871,1.0,0,3207,1.0,2,5996,0.0,1,None,0.0,4,None,0.0,0,None
None,Joao.F,None,None,26,3.0,396,1.0,2,5297,1.0,0,6809,0.0,0,None,0.0,1,None,1.0,3,5751,0.0,0,None
None,zikadozap,None,None,27,2.0,51,1.0,0,1187,1.0,0,1964,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,auntduda,None,None,28,2.0,69,1.0,0,1722,1.0,0,2465,0.0,1,None,0.0,0,None,0.0,1,None,0.0,0,None
None,rafaelsilva2535,None,None,29,2.0,89,1.0,0,2169,1.0,0,3217,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,gabrielsylar,None,None,30,2.0,101,1.0,0,2652,1.0,0,3444,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,lucpena,None,None,31,2.0,141,1.0,0,2515,1.0,0,6022,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,gabriel.ritter99,None,None,32,2.0,159,1.0,0,3233,1.0,0,6370,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,pedrohmoura,None,None,33,2.0,172,1.0,1,1990,1.0,2,4740,0.0,0,None,0.0,0,None,0.0,3,None,0.0,0,None
None,pedrol3001,None,None,34,2.0,224,1.0,1,913,0.0,2,None,1.0,3,7762,0.0,0,None,0.0,1,None,0.0,0,None
None,robertocaixeta102,None,None,35,2.0,256,1.0,2,4617,1.0,1,7227,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,NightOff,None,None,36,1.0,18,1.0,0,1129,0.0,0,None,0.0,0,None,0.0,1,None,0.0,0,None,0.0,0,None
None,theorocha__,None,None,37,1.0,52,1.0,0,3154,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,lamec,None,None,38,1.0,58,1.0,1,2295,0.0,1,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
