teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds
None,luanfreitas5,None,None,1,5.0,262,1.0,0,1011,1.0,0,1389,1.0,0,1897,1.0,0,5290,1.0,0,6254
None,wallacebt,None,None,2,5.0,291,1.0,0,624,1.0,0,818,1.0,0,5278,1.0,2,3943,1.0,0,4603
None,LucasABM,None,None,3,5.0,338,1.0,0,768,1.0,0,948,1.0,2,6988,1.0,0,4215,1.0,0,5157
None,Avestruz_que_te_Seduz,None,None,4,5.0,385,1.0,1,1127,1.0,0,1394,1.0,1,4362,1.0,0,5923,1.0,0,8090
None,Pescotapa_Pitombinha,None,None,5,4.0,356,1.0,0,1140,1.0,0,1364,1.0,4,4294,1.0,1,8670,0.0,0,None
None,G_Cesario,None,None,6,3.0,114,1.0,0,1406,1.0,0,1893,1.0,0,3637,0.0,0,None,0.0,0,None
None,PedroGallo,None,None,7,3.0,116,1.0,0,4958,1.0,0,440,1.0,0,1641,0.0,4,None,0.0,4,None
None,brunocmarino,None,None,8,3.0,118,1.0,0,1073,1.0,0,1623,1.0,0,4481,0.0,4,None,0.0,0,None
None,giovana12,None,None,9,3.0,122,1.0,0,1598,1.0,0,821,1.0,1,3808,0.0,0,None,0.0,0,None
None,alice7lima,None,None,10,3.0,146,1.0,0,2591,1.0,0,1001,1.0,0,5262,0.0,0,None,0.0,0,None
None,DRaposo,None,None,11,3.0,176,1.0,0,733,1.0,0,1067,1.0,1,7668,0.0,0,None,0.0,4,None
None,pedrohmoura,None,None,12,3.0,200,1.0,0,4436,1.0,0,1326,1.0,0,6303,0.0,0,None,0.0,0,None
None,ananaps,None,None,13,3.0,212,1.0,2,1888,1.0,0,2159,1.0,0,6377,0.0,1,None,0.0,0,None
None,lflamellas,None,None,14,3.0,233,1.0,0,838,1.0,0,2039,1.0,5,5227,0.0,2,None,0.0,0,None
None,natalylacerda,None,None,15,3.0,364,1.0,0,8505,1.0,0,1327,1.0,4,7302,0.0,0,None,0.0,0,None
None,leoakira,None,None,16,2.0,32,1.0,0,836,1.0,0,1141,0.0,2,None,0.0,1,None,0.0,0,None
None,JoaoBispo110,None,None,17,2.0,36,1.0,0,905,1.0,0,1269,0.0,4,None,0.0,0,None,0.0,2,None
None,Z3D3S,None,None,18,2.0,43,1.0,0,1143,1.0,0,1494,0.0,9,None,0.0,0,None,0.0,0,None
None,nunesgrf,None,None,19,2.0,47,1.0,0,1225,1.0,0,1651,0.0,0,None,0.0,0,None,0.0,0,None
None,VitinXD,None,None,20,2.0,52,1.0,0,2326,1.0,0,846,0.0,1,None,0.0,0,None,0.0,0,None
None,lucas.costa19,None,None,21,2.0,75,1.0,0,2107,1.0,0,2455,0.0,1,None,0.0,0,None,0.0,0,None
None,gabriel.ritter99,None,None,22,2.0,81,1.0,0,2372,1.0,0,2554,0.0,5,None,0.0,0,None,0.0,0,None
None,Poskvansk,None,None,23,2.0,119,0.0,0,None,1.0,0,1840,1.0,0,5392,0.0,0,None,0.0,0,None
None,pedrol3001,None,None,24,2.0,137,1.0,0,6818,1.0,0,1441,0.0,0,None,0.0,7,None,0.0,0,None
None,tutukiller,None,None,25,2.0,182,1.0,1,5439,1.0,1,3166,0.0,3,None,0.0,0,None,0.0,0,None
None,NightOff,None,None,26,2.0,186,0.0,3,None,1.0,0,3017,1.0,0,8167,0.0,0,None,0.0,0,None
None,Joao.F,None,None,27,2.0,229,0.0,0,None,1.0,0,3957,1.0,1,8686,0.0,0,None,0.0,0,None
None,auntduda,None,None,28,1.0,13,0.0,0,None,1.0,0,814,0.0,0,None,0.0,0,None,0.0,0,None
None,AlvaroLuz,None,None,29,1.0,15,0.0,0,None,1.0,0,917,0.0,0,None,0.0,0,None,0.0,0,None
None,gabrielsylar,None,None,30,1.0,57,0.0,0,None,1.0,0,3445,0.0,0,None,0.0,0,None,0.0,0,None
