teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds
None,PedroGallo,None,None,1,5.0,182,1.0,0,581,1.0,1,1534,1.0,0,1830,1.0,0,2254,1.0,0,3714
None,DRaposo,None,None,2,5.0,189,1.0,0,779,1.0,0,1904,1.0,0,2347,1.0,0,2950,1.0,0,3530
None,LuanP,None,None,3,5.0,190,1.0,0,1321,1.0,0,1774,1.0,0,2054,1.0,0,2826,1.0,0,3496
None,G_Cesario,None,None,4,5.0,222,1.0,0,1347,1.0,0,1828,1.0,0,2234,1.0,0,3172,1.0,0,4917
None,LiL_Teus,None,None,5,5.0,223,1.0,0,717,1.0,0,1135,1.0,0,1757,1.0,0,3028,1.0,1,5751
None,wallacebt,None,None,6,5.0,228,1.0,0,635,1.0,0,1122,1.0,0,1452,1.0,0,1902,1.0,4,3943
None,kayambacha,None,None,7,5.0,237,1.0,0,1542,1.0,0,2345,1.0,0,2826,1.0,0,3616,1.0,0,3999
None,Bitt,None,None,8,5.0,241,1.0,0,217,1.0,0,838,1.0,0,1339,1.0,0,1962,1.0,4,5498
None,VitinXD,None,None,9,5.0,243,1.0,0,755,1.0,0,1712,1.0,0,2635,1.0,0,3255,1.0,1,5165
None,giovana12,None,None,10,5.0,269,1.0,0,595,1.0,1,2386,1.0,0,2919,1.0,0,3870,1.0,0,5343
None,pedrol3001,None,None,11,5.0,331,1.0,1,1524,1.0,0,1997,1.0,0,2585,1.0,1,3895,1.0,1,6398
None,Poskvansk,None,None,12,5.0,349,1.0,0,1148,1.0,0,4859,1.0,1,2807,1.0,0,5320,1.0,0,5795
None,alice7lima,None,None,13,5.0,373,1.0,0,734,1.0,4,3402,1.0,0,2769,1.0,0,4073,1.0,1,5549
None,AlvaroLuz,None,None,14,5.0,502,1.0,1,864,1.0,7,2320,1.0,1,3361,1.0,1,5799,1.0,0,5930
None,karenlimacdo,None,None,15,4.0,82,1.0,0,462,1.0,0,933,1.0,0,1267,1.0,0,2342,0.0,0,None
None,LucasABM,None,None,16,4.0,139,1.0,1,398,1.0,1,1533,1.0,0,1800,1.0,0,2294,0.0,0,None
None,Joao.F,None,None,17,4.0,180,1.0,0,1102,1.0,0,2044,1.0,1,2528,1.0,0,4003,0.0,0,None
None,brunocmarino,None,None,18,4.0,190,1.0,0,1152,1.0,0,2675,1.0,0,3285,1.0,0,4400,0.0,1,None
None,rafaelsilva2535,None,None,19,4.0,220,1.0,0,1868,1.0,0,2941,1.0,0,3591,1.0,0,4863,0.0,0,None
None,Avestruz_que_te_Seduz,None,None,20,4.0,226,1.0,0,1418,1.0,1,2792,1.0,0,3272,1.0,0,5011,0.0,3,None
None,Pescotapa_Pitombinha,None,None,21,4.0,247,1.0,0,1368,1.0,0,2395,1.0,2,3158,1.0,1,4478,0.0,3,None
None,lucas.costa19,None,None,22,4.0,283,1.0,0,1167,1.0,0,2117,1.0,1,6859,1.0,0,5709,0.0,0,None
None,Z3D3S,None,None,23,4.0,296,1.0,6,1831,1.0,0,2163,1.0,0,2760,1.0,0,3840,0.0,1,None
None,leoakira,None,None,24,4.0,320,1.0,5,2616,1.0,0,3107,1.0,0,3450,1.0,0,4163,0.0,3,None
None,tutukiller,None,None,25,4.0,346,1.0,0,2352,1.0,0,3696,1.0,2,5701,1.0,0,6699,0.0,0,None
None,lflamellas,None,None,26,4.0,519,1.0,0,1356,1.0,2,2723,1.0,9,5264,1.0,1,7538,0.0,0,None
None,luanfreitas5,None,None,27,3.0,196,1.0,1,4049,1.0,0,2823,1.0,0,3764,0.0,4,None,0.0,0,None
None,gabrielsylar,None,None,28,3.0,215,1.0,0,1667,0.0,2,None,1.0,0,4967,1.0,0,6373,0.0,0,None
None,Fabio_Santos,None,None,29,3.0,312,1.0,1,3045,1.0,2,6569,1.0,0,5625,0.0,0,None,0.0,0,None
None,Heligleison,None,None,30,2.0,83,1.0,0,1525,0.0,5,None,1.0,0,3532,0.0,3,None,0.0,11,None
None,NightOff,None,None,31,2.0,101,1.0,0,2202,1.0,0,3928,0.0,3,None,0.0,2,None,0.0,0,None
None,lamec,None,None,32,2.0,121,1.0,0,1309,1.0,0,6057,0.0,0,None,0.0,0,None,0.0,0,None
None,pedrohmoura,None,None,33,2.0,265,1.0,1,7117,0.0,1,None,1.0,0,7669,0.0,0,None,0.0,0,None
None,ananaps,None,None,33,2.0,265,1.0,1,6330,1.0,1,7211,0.0,0,None,0.0,0,None,0.0,0,None
None,MarianaM,None,None,35,1.0,9,1.0,0,587,0.0,1,None,0.0,0,None,0.0,0,None,0.0,0,None
None,thamipontes,None,None,36,1.0,86,1.0,1,3972,0.0,1,None,0.0,1,None,0.0,0,None,0.0,0,None
None,lucpena,None,None,37,1.0,174,1.0,5,4473,0.0,1,None,0.0,0,None,0.0,0,None,0.0,0,None
None,auntduda,None,None,38,0.0,0,0.0,1,None,0.0,1,None,0.0,2,None,0.0,0,None,0.0,0,None
None,natalylacerda,None,None,38,0.0,0,0.0,1,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
