teamName,handle1,handle2,handle3,rank,points,penalty,A_points,A_rejectedAttemptCount,A_bestSubmissionTimeSeconds,B_points,B_rejectedAttemptCount,B_bestSubmissionTimeSeconds,C_points,C_rejectedAttemptCount,C_bestSubmissionTimeSeconds,D_points,D_rejectedAttemptCount,D_bestSubmissionTimeSeconds,E_points,E_rejectedAttemptCount,E_bestSubmissionTimeSeconds,F_points,F_rejectedAttemptCount,F_bestSubmissionTimeSeconds,G_points,G_rejectedAttemptCount,G_bestSubmissionTimeSeconds
None,DRaposo,None,None,1,7.0,9067,1.0,0,74071,1.0,0,74457,1.0,0,75213,1.0,0,76246,1.0,0,79026,1.0,1,81112,1.0,0,82938
None,tutukiller,None,None,2,7.0,12221,1.0,0,64858,1.0,0,66768,1.0,1,68750,1.0,2,161096,1.0,1,168946,1.0,0,96990,1.0,1,100165
None,luanfreitas5,None,None,3,7.0,19058,1.0,0,158770,1.0,0,158984,1.0,0,159275,1.0,0,159629,1.0,0,160012,1.0,0,173250,1.0,0,173763
None,wallacebt,None,None,4,7.0,37793,1.0,0,278372,1.0,0,278608,1.0,1,347938,1.0,0,324487,1.0,0,325722,1.0,1,349808,1.0,1,359239
None,Bitt,None,None,5,7.0,46353,1.0,0,238568,1.0,0,239359,1.0,1,418236,1.0,0,417878,1.0,1,420903,1.0,0,521271,1.0,0,522723
None,NightOff,None,None,6,7.0,49662,1.0,0,323379,1.0,0,325006,1.0,0,326148,1.0,0,331727,1.0,2,587465,1.0,0,490336,1.0,2,591093
None,PedroGallo,None,None,7,7.0,53377,1.0,0,348497,1.0,0,349368,1.0,0,347796,1.0,0,363418,1.0,0,364726,1.0,0,714117,1.0,0,714979
None,G_Cesario,None,None,8,7.0,57964,1.0,0,330274,1.0,0,495036,1.0,0,496038,1.0,0,497315,1.0,0,500045,1.0,0,576187,1.0,1,581889
None,auntduda,None,None,9,7.0,73410,1.0,0,424900,1.0,0,431406,1.0,0,607447,1.0,1,604094,1.0,0,1122644,1.0,1,599786,1.0,0,612117
None,natalylacerda,None,None,10,7.0,96353,1.0,0,680337,1.0,0,698399,1.0,0,699836,1.0,0,703633,1.0,0,956060,1.0,0,747242,1.0,0,1295895
None,Z3D3S,None,None,11,7.0,109723,1.0,0,928906,1.0,0,929611,1.0,0,930864,1.0,0,934396,1.0,2,955298,1.0,0,942827,1.0,0,959291
None,ananaps,None,None,12,7.0,123265,1.0,0,950602,1.0,1,1019127,1.0,0,1025270,1.0,0,1033401,1.0,0,1024933,1.0,4,1039630,1.0,1,1295904
None,pedrohmoura,None,None,13,6.0,70764,1.0,0,521170,1.0,0,522098,1.0,0,523727,1.0,1,865468,1.0,0,954465,1.0,0,857925,0.0,0,None
None,giovana12,None,None,14,6.0,87179,1.0,0,854060,1.0,0,854475,1.0,0,854839,1.0,0,855847,1.0,0,954357,1.0,0,857297,0.0,0,None
None,Avestruz_que_te_Seduz,None,None,15,6.0,95019,1.0,0,944619,1.0,0,944800,1.0,0,947729,1.0,0,949220,1.0,1,955540,1.0,1,957018,0.0,0,None
None,lucas.costa19,None,None,16,5.0,71288,1.0,0,785203,1.0,0,792449,1.0,1,859587,1.0,1,883075,1.0,0,954774,0.0,0,None,0.0,0,None
None,brunocmarino,None,None,17,5.0,73591,1.0,0,861781,1.0,2,862741,1.0,0,863325,1.0,0,864556,1.0,3,957172,0.0,0,None,0.0,0,None
None,gabrielsylar,None,None,18,5.0,77971,1.0,0,927541,1.0,0,928871,1.0,0,931016,1.0,0,944185,0.0,0,None,1.0,0,946743,0.0,0,None
None,nunesgrf,None,None,19,4.0,29849,1.0,0,428145,1.0,0,428634,1.0,0,428980,1.0,0,505354,0.0,0,None,0.0,0,None,0.0,0,None
None,alice7lima,None,None,20,4.0,61232,1.0,0,883211,1.0,2,885411,1.0,0,888775,0.0,0,None,1.0,0,1014271,0.0,0,None,0.0,0,None
None,LuanP,None,None,21,4.0,61653,1.0,0,923638,1.0,0,923915,1.0,0,925318,1.0,0,926468,0.0,1,None,0.0,0,None,0.0,0,None
None,lflamellas,None,None,22,3.0,47233,1.0,0,943723,1.0,1,944325,1.0,0,944844,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,AlvaroLuz,None,None,23,3.0,50171,1.0,0,943027,1.0,0,944414,0.0,0,None,0.0,0,None,1.0,0,1122878,0.0,0,None,0.0,0,None
None,Poskvansk,None,None,24,2.0,24491,1.0,0,518704,1.0,1,949568,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None
None,LucasABM,None,None,25,1.0,15874,0.0,0,None,0.0,0,None,0.0,0,None,0.0,0,None,1.0,0,952487,0.0,0,None,0.0,0,None
